time,sigma_x,sigma_y,sigma_z,sigma_roll,sigma_pitch,sigma_yaw,sigma_vx,sigma_vy,sigma_vz
1244086105.865000,1.713899,0.997470,1.944272,0.635740,3.885451,3.628085,0.120110,0.069474,0.075775
1244086105.885000,1.715383,0.998004,1.945307,0.633679,3.895541,3.627298,0.116814,0.058472,0.109399
1244086105.905000,1.716747,0.998277,1.946223,0.649035,3.914664,3.629401,0.118731,0.053646,0.135576
1244086105.925000,1.718278,0.998498,1.947223,0.652792,3.914785,3.630649,0.127031,0.061629,0.120387
1244086118.045000,1.612335,0.959516,1.795653,0.589496,3.891811,3.612542,0.118319,0.066119,0.195144
1244086118.065000,1.537789,0.932293,1.686422,0.548202,3.872411,3.600225,0.112923,0.068141,0.236595
1244086118.085000,1.482385,0.912195,1.603211,0.513471,3.862190,3.590063,0.107493,0.071106,0.244378
1244086118.105000,1.439571,0.896623,1.537292,0.486558,3.852086,3.583113,0.103695,0.072124,0.254466
1244086118.125000,1.405472,0.884132,1.483538,0.464800,3.842055,3.577504,0.100578,0.074814,0.266549
1244086118.145000,1.377695,0.873863,1.438672,0.445986,3.836561,3.573041,0.096961,0.078774,0.263794
1244086118.165000,1.354670,0.865263,1.400426,0.430309,3.828249,3.569150,0.094927,0.076887,0.269442
1244086118.185000,1.335347,0.857922,1.367330,0.416100,3.820738,3.565691,0.093251,0.076298,0.268773
1244086118.205000,1.318882,0.851564,1.338293,0.403010,3.817034,3.562987,0.091358,0.079352,0.271366
1244086118.225000,1.304674,0.845940,1.312626,0.393618,3.812719,3.561421,0.091768,0.082456,0.277554
1244086118.245000,1.292315,0.840944,1.289689,0.383382,3.811839,3.559913,0.091645,0.083321,0.277448
1244086118.265000,1.281480,0.836461,1.269004,0.373658,3.810892,3.558423,0.091724,0.085270,0.277706
1244086118.285000,1.271971,0.832413,1.250178,0.365017,3.809586,3.557363,0.092988,0.087809,0.279522
1244086118.305000,1.263524,0.828713,1.232956,0.356476,3.808961,3.556273,0.092238,0.088549,0.279717
1244086118.325000,1.255998,0.825308,1.217071,0.349564,3.808593,3.555480,0.093518,0.091009,0.282466
1244086118.345000,1.249253,0.822155,1.202334,0.343144,3.807655,3.554734,0.093304,0.091224,0.284238
1244086118.365000,1.243227,0.819245,1.188548,0.336634,3.807394,3.553989,0.091744,0.093613,0.283200
1244086118.385000,1.237791,0.816536,1.175620,0.331022,3.807057,3.553446,0.093423,0.094491,0.290631
1244086118.405000,1.232867,0.813978,1.163466,0.325238,3.806572,3.552698,0.094498,0.096007,0.295186
1244086118.425000,1.228399,0.811592,1.151970,0.320107,3.806261,3.551810,0.094539,0.096044,0.297671
1244086118.445000,1.224345,0.809323,1.141062,0.315630,3.805728,3.551082,0.094162,0.096204,0.300830
1244086118.465000,1.220683,0.807192,1.130658,0.311286,3.804167,3.550106,0.095259,0.096448,0.303363
1244086118.485000,1.217343,0.805154,1.120720,0.308482,3.803888,3.549534,0.095919,0.096363,0.307659
1244086118.505000,1.214295,0.803195,1.111220,0.306190,3.802656,3.548904,0.096803,0.096171,0.311720
1244086118.525000,1.211504,0.801339,1.102094,0.303174,3.802172,3.548168,0.097110,0.095056,0.314781
1244086118.545000,1.208945,0.799552,1.093337,0.300356,3.801342,3.547370,0.096858,0.095126,0.315935
1244086118.565000,1.206620,0.797851,1.084882,0.297365,3.801375,3.546635,0.096299,0.094882,0.313769
1244086118.585000,1.204477,0.796205,1.076747,0.295406,3.801664,3.546185,0.096638,0.095160,0.316754
1244086118.605000,1.202490,0.794622,1.068893,0.292879,3.802380,3.545210,0.095781,0.093973,0.318010
1244086118.625000,1.200650,0.793083,1.061287,0.291012,3.802465,3.544500,0.095664,0.093900,0.321162
1244086118.645000,1.198923,0.791600,1.053935,0.288738,3.803494,3.543638,0.094396,0.092930,0.320122
1244086118.665000,1.197317,0.790145,1.046776,0.287216,3.804486,3.543138,0.093461,0.092797,0.320435
1244086118.685000,1.195857,0.788753,1.039778,0.285561,3.803711,3.542728,0.093963,0.093171,0.325933
1244086118.705000,1.194485,0.787400,1.032954,0.283533,3.804535,3.542361,0.093402,0.092967,0.328162
1244086118.725000,1.193196,0.786078,1.026296,0.281560,3.805320,3.542053,0.092626,0.093344,0.329367
1244086118.745000,1.191981,0.784787,1.019783,0.279333,3.805949,3.541790,0.091834,0.094377,0.331687
1244086118.765000,1.190865,0.783546,1.013384,0.277519,3.806007,3.541572,0.090709,0.093750,0.333391
1244086118.785000,1.189831,0.782325,1.007105,0.276417,3.806206,3.541485,0.090771,0.093234,0.336596
1244086118.805000,1.188874,0.781140,1.000931,0.275454,3.806164,3.541430,0.090588,0.092281,0.341535
1244086118.825000,1.187993,0.779979,0.994832,0.274679,3.805024,3.541460,0.090863,0.092216,0.350752
1244086118.845000,1.187198,0.778852,0.988790,0.273330,3.803793,3.541423,0.091026,0.091305,0.359920
1244086118.865000,1.186478,0.777747,0.982821,0.272466,3.801522,3.541557,0.092328,0.090702,0.364846
1244086223.096000,1.235050,0.769439,0.981090,0.281481,3.800596,3.538112,0.108494,0.090119,0.360957
1244086223.116000,1.279607,0.761389,0.979394,0.289011,3.800381,3.534775,0.126357,0.089575,0.357267
1244086223.136000,1.320657,0.753583,0.977752,0.296816,3.799600,3.531798,0.136188,0.089014,0.353747
1244086223.156000,1.358682,0.746010,0.976156,0.303005,3.799019,3.528839,0.142952,0.088122,0.350489
1244086223.176000,1.394059,0.738660,0.974634,0.308994,3.798172,3.525849,0.152858,0.088186,0.347381
1244086223.196000,1.427116,0.731523,0.973169,0.315735,3.797918,3.523018,0.160482,0.087540,0.344027
1244086223.216000,1.458019,0.724590,0.971778,0.323084,3.797268,3.520704,0.167396,0.086851,0.340800
1244086223.236000,1.486997,0.717851,0.970471,0.331116,3.796632,3.518505,0.172799,0.086442,0.337928
1244086223.256000,1.514236,0.711299,0.969251,0.338259,3.795617,3.516318,0.176995,0.086074,0.334933
1244086223.276000,1.539883,0.704926,0.968094,0.344975,3.794493,3.514309,0.181191,0.085699,0.332246
1244086223.296000,1.564116,0.698726,0.967026,0.351625,3.793469,3.512576,0.186024,0.084981,0.329390
1244086223.316000,1.587002,0.692690,0.966035,0.358369,3.791796,3.511072,0.189551,0.084891,0.327318
